dataset,model_name,metric_name,metric_value,error_notes
JanosAudran/financial-reports-sec,bartowski/internlm3-8b-instruct-GGUF,,,
MU-NLPC/Calc-asdiv_a,llm-agents/tora-code-7b-v1.0,,,
MU-NLPC/Calc-asdiv_a,RichardErkhov/microsoft_-_rho-math-7b-interpreter-v0.1-gguf,,,
MU-NLPC/Calc-asdiv_a,microsoft/rho-math-1b-interpreter-v0.1,,,
MU-NLPC/Calc-asdiv_a,deepseek-ai/deepseek-coder-7b-base-v1.5,,,
MU-NLPC/Calc-asdiv_a,TheBloke/MAmmoTH-Coder-13B-GGUF,,,
McAuley-Lab/Amazon-Reviews-2023,qwp4w3hyb/Hunyuan-A13B-Instruct-hf-WIP-GGUF,,,
McAuley-Lab/Amazon-Reviews-2023,unsloth/DeepSeek-R1-Distill-Qwen-14B,,,
McAuley-Lab/Amazon-Reviews-2023,bartowski/internlm3-8b-instruct-GGUF,,,
McAuley-Lab/Amazon-Reviews-2023,google/byt5-xxl,,,
McAuley-Lab/Amazon-Reviews-2023,yandex/YandexGPT-5-Lite-8B-instruct,,,
ParlAI/blended_skill_talk,anonymous4chan/llama-2-13b,,,
ParlAI/blended_skill_talk,mradermacher/mistral-7b-anthropic-i1-GGUF,,,
ParlAI/blended_skill_talk,TheBloke/Llama-2-13B-chat-GGUF,,,
ParlAI/blended_skill_talk,MaziyarPanahi/Mistral-7B-Instruct-v0.2,,,
ParlAI/blended_skill_talk,nvidia/Llama3-ChatQA-2-8B,,,
RobZamp/sick,tasksource/ModernBERT-large-nli,,,
RobZamp/sick,cross-encoder/nli-deberta-v3-base,,,
RobZamp/sick,cross-encoder/nli-deberta-v3-large,,,
RobZamp/sick,cross-encoder/nli-deberta-v3-small,,,
RobZamp/sick,cross-encoder/nli-deberta-v3-xsmall,,,
SemEvalWorkshop/hyperpartisan_news_detection,cardiffnlp/twitter-roberta-base-hate-latest,,,
SemEvalWorkshop/hyperpartisan_news_detection,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,,,
SemEvalWorkshop/hyperpartisan_news_detection,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,,,
SemEvalWorkshop/hyperpartisan_news_detection,Hate-speech-CNERG/bert-base-uncased-hatexplain,,,
SemEvalWorkshop/hyperpartisan_news_detection,dima806/news-category-classifier-distilbert,,,
SetFit/bbc-news,dima806/news-category-classifier-distilbert,,,
SetFit/bbc-news,sentence-transformers/sentence-t5-base,,,
SetFit/bbc-news,allenai/unifiedqa-t5-small,,,
SetFit/bbc-news,ServiceNow-AI/Apriel-5B-Instruct,,,
SetFit/bbc-news,timm/vit_base_patch16_clip_224.dfn2b,,,
TheFinAI/fiqa-sentiment-classification,gauneg/roberta-base-absa-ate-sentiment,,,
TheFinAI/fiqa-sentiment-classification,CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,,,
TheFinAI/fiqa-sentiment-classification,IDEA-CCNL/Erlangshen-Roberta-110M-Sentiment,,,
TheFinAI/fiqa-sentiment-classification,HooshvareLab/bert-base-parsbert-uncased,,,
TheFinAI/fiqa-sentiment-classification,allegro/herbert-base-cased,,,
ade-benchmark-corpus/ade_corpus_v2,PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,,,
ade-benchmark-corpus/ade_corpus_v2,tomaarsen/span-marker-bert-base-uncased-acronyms,,,
ade-benchmark-corpus/ade_corpus_v2,katanemo/Arch-Router-1.5B.gguf,,,
ade-benchmark-corpus/ade_corpus_v2,kyutai/helium-1-preview-2b,,,
ade-benchmark-corpus/ade_corpus_v2,4bit/Llama-2-13b-chat-hf,,,
allenai/cosmos_qa,mradermacher/ARM-7B-i1-GGUF,,,
allenai/cosmos_qa,soniox/Soniox-7B-v1.0,,,
allenai/cosmos_qa,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,,,
allenai/cosmos_qa,allenai/unifiedqa-t5-small,,,
allenai/cosmos_qa,microsoft/Orca-2-13b,,,
allenai/mslr2022,nlpie/Llama2-MedTuned-7b,,,
allenai/mslr2022,nvidia/Llama3-ChatQA-2-8B,,,
allenai/mslr2022,X-iZhang/libra-v1.0-7b,,,
allenai/mslr2022,anonymous4chan/llama-2-13b,,,
allenai/mslr2022,OpenMed/OpenMed-NER-PharmaDetect-BioMed-109M,,,
allenai/peer_read,sdadas/mmlw-roberta-base,,,
allenai/peer_read,NousResearch/Llama-2-13b-hf,,,
allenai/peer_read,beomi/Yi-Ko-6B,,,
allenai/peer_read,google/gemma-7b-aps-it,,,
allenai/peer_read,state-spaces/mamba-2.8b-slimpj,,,
allenai/quartz,albert/albert-xxlarge-v1,,,
allenai/quartz,Qwen/Qwen2-7B,,,
allenai/quartz,OpenGVLab/InternVL3-9B,,,
allenai/quartz,internlm/internlm2_5-7b,,,
allenai/quartz,Qwen/Qwen1.5-14B,,,
ashraq/financial-news-articles,sdadas/mmlw-roberta-base,,,
ashraq/financial-news-articles,dima806/news-category-classifier-distilbert,,,
ashraq/financial-news-articles,IDEA-CCNL/Erlangshen-Roberta-110M-Sentiment,,,
ashraq/financial-news-articles,ahmedabdelali/bert-base-qarib,,,
ashraq/financial-news-articles,RichardErkhov/gradientai_-_Llama-3-8B-Instruct-262k-gguf,,,
bigbio/bc5cdr,OpenMed/OpenMed-NER-PharmaDetect-BioMed-109M,,,
bigbio/bc5cdr,OpenMed/OpenMed-NER-PharmaDetect-BigMed-278M,,,
bigbio/bc5cdr,OpenMed/OpenMed-NER-DNADetect-MultiMed-568M,,,
bigbio/bc5cdr,OpenMed/OpenMed-NER-DNADetect-BigMed-560M,,,
bigbio/bc5cdr,OpenMed/OpenMed-NER-GenomeDetect-BioMed-109M,,,
bigbio/bioasq_task_b,mradermacher/Llama3-Aloe-8B-Alpha-GGUF,,,
bigbio/bioasq_task_b,johnsnowlabs/JSL-MedMNX-7B-v2.0,,,
bigbio/bioasq_task_b,mradermacher/KoBioMed-Llama-3.1-8B-i1-GGUF,,,
bigbio/bioasq_task_b,axiong/PMC_LLaMA_13B,,,
bigbio/bioasq_task_b,dmis-lab/llama-3-meerkat-8b-v1.0,,,
bigbio/chemprot,OpenMed/OpenMed-NER-PharmaDetect-BioMed-109M,,,
bigbio/chemprot,OpenMed/OpenMed-NER-PharmaDetect-BigMed-278M,,,
bigbio/chemprot,nlpie/Llama2-MedTuned-7b,,,
bigbio/chemprot,OpenMed/OpenMed-NER-DNADetect-MultiMed-568M,,,
bigbio/chemprot,OpenMed/OpenMed-NER-DNADetect-BigMed-560M,,,
bigbio/ddi_corpus,OpenMed/OpenMed-NER-PharmaDetect-BioMed-109M,,,
bigbio/ddi_corpus,OpenMed/OpenMed-NER-PharmaDetect-BigMed-278M,,,
bigbio/ddi_corpus,OpenMed/OpenMed-NER-DNADetect-MultiMed-568M,,,
bigbio/ddi_corpus,OpenMed/OpenMed-NER-DNADetect-BigMed-560M,,,
bigbio/ddi_corpus,OpenMed/OpenMed-NER-DNADetect-PubMed-335M,,,
bigbio/mediqa_qa,mradermacher/Llama3-Aloe-8B-Alpha-GGUF,,,
bigbio/mediqa_qa,mlx-community/medgemma-4b-it-4bit,,,
bigbio/mediqa_qa,johnsnowlabs/JSL-MedMNX-7B-v2.0,,,
bigbio/mediqa_qa,mradermacher/Lingshu-7B-GGUF,,,
bigbio/mediqa_qa,facebook/galactica-6.7b,,,
bigbio/n2c2_2018_track2,PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,,,
bigbio/n2c2_2018_track2,OpenMed/OpenMed-NER-DNADetect-MultiMed-568M,,,
bigbio/n2c2_2018_track2,OpenMed/OpenMed-NER-DNADetect-BigMed-560M,,,
bigbio/n2c2_2018_track2,OpenMed/OpenMed-NER-PharmaDetect-BioMed-109M,,,
bigbio/n2c2_2018_track2,OpenMed/OpenMed-NER-PharmaDetect-BigMed-278M,,,
bigbio/ncbi_disease,OpenMed/OpenMed-NER-PharmaDetect-BioMed-109M,,,
bigbio/ncbi_disease,OpenMed/OpenMed-NER-PharmaDetect-BigMed-278M,,,
bigbio/ncbi_disease,OpenMed/OpenMed-NER-GenomeDetect-BioMed-109M,,,
bigbio/ncbi_disease,OpenMed/OpenMed-NER-DNADetect-MultiMed-568M,,,
bigbio/ncbi_disease,OpenMed/OpenMed-NER-DNADetect-BigMed-560M,,,
biglam/gutenberg-poetry-corpus,FreedomIntelligence/phoenix-inst-chat-7b,,,
biglam/gutenberg-poetry-corpus,allenai/unifiedqa-t5-small,,,
biglam/gutenberg-poetry-corpus,sdadas/mmlw-roberta-base,,,
biglam/gutenberg-poetry-corpus,mradermacher/MiniPLM-Qwen-1.2B-i1-GGUF,,,
biglam/gutenberg-poetry-corpus,state-spaces/mamba-2.8b-slimpj,,,
bitext/Bitext-customer-support-llm-chatbot-training-dataset,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33,,,
bitext/Bitext-customer-support-llm-chatbot-training-dataset,MoritzLaurer/ModernBERT-base-zeroshot-v2.0,,,
bitext/Bitext-customer-support-llm-chatbot-training-dataset,katanemo/Arch-Router-1.5B.gguf,,,
bitext/Bitext-customer-support-llm-chatbot-training-dataset,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,,,
bitext/Bitext-customer-support-llm-chatbot-training-dataset,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,,,
cardiffnlp/tweet_eval,cardiffnlp/twitter-roberta-base-emotion-multilabel-latest,,,
cardiffnlp/tweet_eval,cardiffnlp/twitter-roberta-base-hate-latest,,,
cardiffnlp/tweet_eval,cirimus/modernbert-base-emotions,,,
cardiffnlp/tweet_eval,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,,,
cardiffnlp/tweet_eval,Hate-speech-CNERG/bert-base-uncased-hatexplain,,,
ccdv/WCEP-10,THUDM/glm-10b,,,
ccdv/WCEP-10,google/byt5-xxl,,,
ccdv/WCEP-10,T-Systems-onsite/mt5-small-sum-de-en-v2,,,
ccdv/WCEP-10,deutsche-telekom/mt5-small-sum-de-en-v1,,,
ccdv/WCEP-10,KoboldAI/OPT-6B-nerys-v2,,,
ccdv/govreport-summarization,THUDM/glm-10b,,,
ccdv/govreport-summarization,T-Systems-onsite/mt5-small-sum-de-en-v2,,,
ccdv/govreport-summarization,deutsche-telekom/mt5-small-sum-de-en-v1,,,
ccdv/govreport-summarization,google/byt5-xxl,,,
ccdv/govreport-summarization,nvidia/Llama3-ChatQA-2-8B,,,
ccdv/pubmed-summarization,THUDM/glm-10b,,,
ccdv/pubmed-summarization,nvidia/Llama3-ChatQA-2-8B,,,
ccdv/pubmed-summarization,google/byt5-xxl,,,
ccdv/pubmed-summarization,T-Systems-onsite/mt5-small-sum-de-en-v2,,,
ccdv/pubmed-summarization,deutsche-telekom/mt5-small-sum-de-en-v1,,,
chengxuphd/liar2,bespokelabs/Bespoke-MiniCheck-7B,,,
chengxuphd/liar2,yaxili96/FactCG-DeBERTa-v3-Large,,,
chengxuphd/liar2,lytang/MiniCheck-Flan-T5-Large,,,
chengxuphd/liar2,lytang/MiniCheck-RoBERTa-Large,,,
chengxuphd/liar2,sdadas/mmlw-roberta-base,,,
climatebert/climate_commitments_actions,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,,,
climatebert/climate_commitments_actions,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,,,
climatebert/climate_commitments_actions,MoritzLaurer/ModernBERT-base-zeroshot-v2.0,,,
climatebert/climate_commitments_actions,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33,,,
climatebert/climate_commitments_actions,MoritzLaurer/deberta-v3-base-zeroshot-v2.0-c,,,
climatebert/environmental_claims,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33,,,
climatebert/environmental_claims,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,,,
climatebert/environmental_claims,tasksource/ModernBERT-large-nli,,,
climatebert/environmental_claims,cross-encoder/nli-deberta-v3-base,,,
climatebert/environmental_claims,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,,,
clinc/clinc_oos,katanemo/Arch-Router-1.5B.gguf,,,
clinc/clinc_oos,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33,,,
clinc/clinc_oos,MoritzLaurer/ModernBERT-base-zeroshot-v2.0,,,
clinc/clinc_oos,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,,,
clinc/clinc_oos,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,,,
coastalcph/lex_glue,law-ai/InLegalBERT,,,
coastalcph/lex_glue,google-t5/t5-11b,,,
coastalcph/lex_glue,elinas/llama-7b-hf-transformers-4.29,,,
coastalcph/lex_glue,google-t5/t5-large,,,
coastalcph/lex_glue,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,,,
coastalcph/multi_eurlex,bartowski/EuroLLM-9B-Instruct-GGUF,,,
coastalcph/multi_eurlex,RichardErkhov/ReliableAI_-_UCCIX-Llama2-13B-gguf,,,
coastalcph/multi_eurlex,mradermacher/Qwen3-14B-YOYO-GGUF,,,
coastalcph/multi_eurlex,openGPT-X/Teuken-7B-instruct-research-v0.4,,,
coastalcph/multi_eurlex,ReliableAI/UCCIX-Llama2-13B-Instruct,,,
community-datasets/yahoo_answers_topics,aychang/bert-base-cased-trec-coarse,,,
community-datasets/yahoo_answers_topics,sentence-transformers/sentence-t5-base,,,
community-datasets/yahoo_answers_topics,sdadas/mmlw-roberta-base,,,
community-datasets/yahoo_answers_topics,Qwen/Qwen2-7B,,,
community-datasets/yahoo_answers_topics,mradermacher/Colossal-LLaMA-2-13b-base-i1-GGUF,,,
cornell-movie-dialog/cornell_movie_dialog,NousResearch/Hermes-2-Pro-Mistral-7B,,,
cornell-movie-dialog/cornell_movie_dialog,NousResearch/Hermes-2-Pro-Mistral-7B-GGUF,,,
cornell-movie-dialog/cornell_movie_dialog,mlc-ai/Hermes-2-Pro-Mistral-7B-q4f16_1-MLC,,,
cornell-movie-dialog/cornell_movie_dialog,backyardai/Hermes-2-Pro-Mistral-7B-GGUF,,,
cornell-movie-dialog/cornell_movie_dialog,mradermacher/Hermes-2-Pro-Mistral-7B-GGUF,,,
cornell-movie-review-data/rotten_tomatoes,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,,,
cornell-movie-review-data/rotten_tomatoes,MoritzLaurer/deberta-v3-base-zeroshot-v2.0-c,,,
cornell-movie-review-data/rotten_tomatoes,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,,,
cornell-movie-review-data/rotten_tomatoes,gauneg/roberta-base-absa-ate-sentiment,,,
cornell-movie-review-data/rotten_tomatoes,mradermacher/uzbek-llama-3.1-8B-instruct-v2-GGUF,,,
deepmind/aqua_rat,GAIR/Abel-7B-002,,,
deepmind/aqua_rat,llm-agents/tora-code-7b-v1.0,,,
deepmind/aqua_rat,IAAR-Shanghai/xVerify-3B-Ia,,,
deepmind/aqua_rat,mradermacher/ARM-7B-i1-GGUF,,,
deepmind/aqua_rat,nvidia/AceMath-7B-RM,,,
deepmind/math_dataset,TIGER-Lab/MAmmoTH-7B,,,
deepmind/math_dataset,llm-agents/tora-code-7b-v1.0,,,
deepmind/math_dataset,01-ai/Yi-1.5-6B-Chat,,,
deepmind/math_dataset,TheBloke/MAmmoTH-Coder-13B-GGUF,,,
deepmind/math_dataset,XiaomiMiMo/MiMo-VL-7B-SFT,,,
deepset/covid_qa_deepset,mradermacher/Llama3-Aloe-8B-Alpha-GGUF,,,
deepset/covid_qa_deepset,google/medgemma-4b-it,,,
deepset/covid_qa_deepset,allenai/unifiedqa-t5-small,,,
deepset/covid_qa_deepset,nvidia/Llama3-ChatQA-2-8B,,,
deepset/covid_qa_deepset,CATIE-AQ/QAmembert-large,,,
dreamerdeo/finqa,bartowski/Yi-Coder-9B-Chat-GGUF,,,
dreamerdeo/finqa,OctoThinker/OctoThinker-8B-Short-Base,,,
dreamerdeo/finqa,tensorblock/deepseek-coder-6.7b-base-GGUF,,,
dreamerdeo/finqa,llm-agents/tora-code-13b-v1.0,,,
dreamerdeo/finqa,ChanceFocus/finma-7b-full,,,
embedding-data/Amazon-QA,albert/albert-xxlarge-v1,,,
embedding-data/Amazon-QA,Mungert/Llama-3.1-8B-Instruct-GGUF,,,
embedding-data/Amazon-QA,sdadas/mmlw-roberta-base,,,
embedding-data/Amazon-QA,hfl/chinese-macbert-large,,,
embedding-data/Amazon-QA,mradermacher/granite-3.3-8b-qiskit-GGUF,,,
facebook/empathetic_dialogues,nvidia/Llama3-ChatQA-2-8B,,,
facebook/empathetic_dialogues,TheBloke/Llama-2-13B-chat-GGUF,,,
facebook/empathetic_dialogues,McGill-NLP/roberta-large-faithcritic,,,
facebook/empathetic_dialogues,MaziyarPanahi/Mistral-7B-Instruct-v0.2,,,
facebook/empathetic_dialogues,NousResearch/Llama-2-7b-chat-hf,,,
fancyzhx/amazon_polarity,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,,,
fancyzhx/amazon_polarity,MoritzLaurer/deberta-v3-base-zeroshot-v2.0-c,,,
fancyzhx/amazon_polarity,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,,,
fancyzhx/amazon_polarity,wonrax/phobert-base-vietnamese-sentiment,,,
fancyzhx/amazon_polarity,gauneg/roberta-base-absa-ate-sentiment,,,
fancyzhx/dbpedia_14,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,,,
fancyzhx/dbpedia_14,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,,,
fancyzhx/dbpedia_14,MoritzLaurer/deberta-v3-base-zeroshot-v2.0-c,,,
fancyzhx/dbpedia_14,MoritzLaurer/roberta-base-zeroshot-v2.0-c,,,
fancyzhx/dbpedia_14,dima806/news-category-classifier-distilbert,,,
fancyzhx/yelp_polarity,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,,,
fancyzhx/yelp_polarity,MoritzLaurer/deberta-v3-base-zeroshot-v2.0-c,,,
fancyzhx/yelp_polarity,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,,,
fancyzhx/yelp_polarity,sentence-transformers/sentence-t5-base,,,
fancyzhx/yelp_polarity,gauneg/roberta-base-absa-ate-sentiment,,,
fever/fever,OpenSciLM/Llama-3.1_OpenScholar-8B,,,
fever/fever,tasksource/ModernBERT-large-nli,,,
fever/fever,bespokelabs/Bespoke-MiniCheck-7B,,,
fever/fever,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,,,
fever/fever,lytang/MiniCheck-RoBERTa-Large,,,
gamino/wiki_medical_terms,nlpie/Llama2-MedTuned-7b,,,
gamino/wiki_medical_terms,OpenMed/OpenMed-NER-PharmaDetect-BioMed-109M,,,
gamino/wiki_medical_terms,OpenMed/OpenMed-NER-PharmaDetect-BigMed-278M,,,
gamino/wiki_medical_terms,OpenMed/OpenMed-NER-GenomeDetect-BioMed-109M,,,
gamino/wiki_medical_terms,sdadas/mmlw-roberta-base,,,
google-research-datasets/go_emotions,cirimus/modernbert-base-emotions,,,
google-research-datasets/go_emotions,cardiffnlp/twitter-roberta-base-emotion-multilabel-latest,,,
google-research-datasets/go_emotions,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,,,
google-research-datasets/go_emotions,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,,,
google-research-datasets/go_emotions,MoritzLaurer/roberta-base-zeroshot-v2.0-c,,,
google-research-datasets/paws,sentence-transformers/sentence-t5-base,,,
google-research-datasets/paws,hfl/chinese-macbert-large,,,
google-research-datasets/paws,cmarkea/distilcamembert-base,,,
google-research-datasets/paws,CATIE-AQ/QAmembert-large,,,
google-research-datasets/paws,BSC-LT/salamandra-7b-instruct,,,
google-research-datasets/poem_sentiment,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,,,
google-research-datasets/poem_sentiment,MoritzLaurer/deberta-v3-base-zeroshot-v2.0-c,,,
google-research-datasets/poem_sentiment,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,,,
google-research-datasets/poem_sentiment,ChanceFocus/finma-7b-full,,,
google-research-datasets/poem_sentiment,IDEA-CCNL/Erlangshen-Roberta-110M-Sentiment,,,
google-research-datasets/taskmaster1,nvidia/Llama3-ChatQA-2-8B,,,
google-research-datasets/taskmaster1,bartowski/Llama-3-ChatQA-1.5-8B-GGUF,,,
google-research-datasets/taskmaster1,NousResearch/Hermes-2-Pro-Mistral-7B,,,
google-research-datasets/taskmaster1,TheBloke/Llama-2-13B-chat-GGUF,,,
google-research-datasets/taskmaster1,MoritzLaurer/roberta-base-zeroshot-v2.0-c,,,
google/civil_comments,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,,,
google/civil_comments,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,,,
google/civil_comments,MoritzLaurer/roberta-base-zeroshot-v2.0-c,,,
google/civil_comments,MoritzLaurer/deberta-v3-base-zeroshot-v2.0-c,,,
google/civil_comments,Mungert/granite-guardian-3.2-3b-a800m-GGUF,,,
griffin/ChemSum,THUDM/glm-10b,,,
griffin/ChemSum,T-Systems-onsite/mt5-small-sum-de-en-v2,,,
griffin/ChemSum,deutsche-telekom/mt5-small-sum-de-en-v1,,,
griffin/ChemSum,google/byt5-xxl,,,
griffin/ChemSum,plguillou/t5-base-fr-sum-cnndm,,,
gtfintechlab/finer-ord,cmarkea/distilcamembert-base-ner,,,
gtfintechlab/finer-ord,CATIE-AQ/NERmembert-large-3entities,,,
gtfintechlab/finer-ord,mrm8488/bert-base-german-finetuned-ler,,,
gtfintechlab/finer-ord,PlanTL-GOB-ES/roberta-large-bne,,,
gtfintechlab/finer-ord,vinai/phobert-large,,,
hover-nlp/hover,bespokelabs/Bespoke-MiniCheck-7B,,,
hover-nlp/hover,yaxili96/FactCG-DeBERTa-v3-Large,,,
hover-nlp/hover,lytang/MiniCheck-Flan-T5-Large,,,
hover-nlp/hover,lmms-lab/llava-next-interleave-qwen-7b,,,
hover-nlp/hover,lytang/MiniCheck-RoBERTa-Large,,,
james-burton/wine_reviews,qwp4w3hyb/Hunyuan-A13B-Instruct-hf-WIP-GGUF,,,
james-burton/wine_reviews,unsloth/DeepSeek-R1-Distill-Qwen-14B,,,
james-burton/wine_reviews,bartowski/internlm3-8b-instruct-GGUF,,,
james-burton/wine_reviews,RichardErkhov/gradientai_-_Llama-3-8B-Instruct-262k-gguf,,,
james-burton/wine_reviews,mradermacher/granite-3.0-2b-instruct-i1-GGUF,,,
joelniklaus/legal_case_document_summarization,mlabonne/Daredevil-8B-abliterated,,,
joelniklaus/legal_case_document_summarization,mlabonne/Beyonder-4x7B-v3,,,
joelniklaus/legal_case_document_summarization,KurmaAI/AQUA-7B,,,
joelniklaus/legal_case_document_summarization,bullerwins/DeepSeek-R1-0528-Qwen3-8B-fp8,,,
joelniklaus/legal_case_document_summarization,mradermacher/Llama-3-8B-Instruct-Gradient-4194k-i1-GGUF,,,
knkarthick/samsum,THUDM/glm-10b,,,
knkarthick/samsum,MBZUAI-Paris/Atlas-Chat-2B,,,
knkarthick/samsum,HooshvareLab/pn-summary-mt5-base,,,
knkarthick/samsum,T-Systems-onsite/mt5-small-sum-de-en-v2,,,
knkarthick/samsum,google/byt5-xxl,,,
launch/gov_report,THUDM/glm-10b,,,
launch/gov_report,nvidia/Llama3-ChatQA-2-8B,,,
launch/gov_report,T-Systems-onsite/mt5-small-sum-de-en-v2,,,
launch/gov_report,unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit,,,
launch/gov_report,Mozilla/Mistral-7B-Instruct-v0.3-llamafile,,,
launch/gov_report_qs,THUDM/glm-10b,,,
launch/gov_report_qs,nvidia/Llama3-ChatQA-2-8B,,,
launch/gov_report_qs,KoboldAI/OPT-6B-nerys-v2,,,
launch/gov_report_qs,T-Systems-onsite/mt5-small-sum-de-en-v2,,,
launch/gov_report_qs,deutsche-telekom/mt5-small-sum-de-en-v1,,,
li2017dailydialog/daily_dialog,cirimus/modernbert-base-emotions,,,
li2017dailydialog/daily_dialog,McGill-NLP/roberta-large-faithcritic,,,
li2017dailydialog/daily_dialog,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,,,
li2017dailydialog/daily_dialog,MaziyarPanahi/Mistral-7B-Instruct-v0.2,,,
li2017dailydialog/daily_dialog,nvidia/Llama3-ChatQA-2-8B,,,
medalpaca/medical_meadow_medqa,dmis-lab/llama-3-meerkat-8b-v1.0,,,
medalpaca/medical_meadow_medqa,bartowski/HuatuoGPT-o1-7B-v0.1-GGUF,,,
medalpaca/medical_meadow_medqa,mlx-community/medgemma-4b-it-4bit,,,
medalpaca/medical_meadow_medqa,MagicXin/Med3DVLM-Qwen-2.5-7B,,,
medalpaca/medical_meadow_medqa,mradermacher/Llama3-Aloe-8B-Alpha-GGUF,,,
microsoft/orca-math-word-problems-200k,llm-agents/tora-code-7b-v1.0,,,
microsoft/orca-math-word-problems-200k,mradermacher/ARM-7B-i1-GGUF,,,
microsoft/orca-math-word-problems-200k,unsloth/Qwen3-14B-unsloth-bnb-4bit,,,
microsoft/orca-math-word-problems-200k,QuantFactory/deepseek-math-7b-instruct-GGUF,,,
