condition,query_dataset,rank,model_name,recommendation_score,source_method,reasoning
D_claude_baseline,Amod/mental_health_counseling_conversations,2,google/gemma-2-9b-it,0.9,claude_baseline,"Gemma-2-9B-it is known for warm, natural conversational tone and strong safety tuning, which fits empathetic mental-health responses particularly well and often matches larger models on dialogue tasks."
D_claude_baseline,Amod/mental_health_counseling_conversations,3,meta-llama/Llama-3.1-8B-Instruct,0.88,claude_baseline,"Highly capable, well-aligned chat model with strong RLHF for helpful/harmless responses; a proven strong baseline for empathetic response-generation SFT."
D_claude_baseline,Amod/mental_health_counseling_conversations,4,Qwen/Qwen2.5-7B-Instruct,0.84,claude_baseline,"Smaller sibling of the top pick with very strong instruction-following and conversational quality at 7B, providing a fast, high-quality fine-tuning target for counseling-style replies."
D_claude_baseline,Amod/mental_health_counseling_conversations,5,mistralai/Mistral-7B-Instruct-v0.3,0.8,claude_baseline,"Mature, widely fine-tuned 7B instruction model that adapts well to empathetic dialogue SFT and serves as a robust, efficient baseline for this response-generation dataset."
A_merged,Anthropic/llm_global_opinions,1,google/gemma-3-12b-it-qat-q4_0-gguf,0.84,method1,"Top measured performer on the highly relevant CohereLabs/Global-MMLU-Lite benchmark with accuracy=0.694. This dataset includes multilingual questions with culture, region, country, and cultural-sensitivity fields, making it a strong proxy for Anthropic/llm_global_opinions."
A_merged,Anthropic/llm_global_opinions,2,trillionlabs/Trillion-7B-preview,0.81,method1,Strong second-tier result on CohereLabs/Global-MMLU-Lite with accuracy=0.6775. Its performance on a global multilingual/cultural QA benchmark is directly relevant to modeling global opinion distributions.
A_merged,Anthropic/llm_global_opinions,3,mradermacher/Qwen3-14B-YOYO-GGUF,0.78,method1,"Best measured model on CohereForAI/include-base-44 with accuracy=0.6455. include-base-44 is a broad multilingual multiple-choice benchmark with country and regional coverage, which is well aligned with the query dataset."
A_merged,Anthropic/llm_global_opinions,4,google/gemma-3n-E4B-it,0.74,method1,"Measured accuracy=0.645 on CohereLabs/Global-MMLU-Lite, matching the best Gemma 3n family results on that global benchmark. It is smaller than the 12B Gemma option but still shows strong performance on culturally diverse QA."
A_merged,Anthropic/llm_global_opinions,5,unsloth/Qwen3-8B,0.70,method1,"Measured accuracy=0.594 on CohereForAI/include-base-44, behind the 14B Qwen3 variant but still strong on a multilingual regional benchmark. It offers a solid lower-parameter alternative with directly relevant neighborhood evidence."
B_method1_only,Anthropic/llm_global_opinions,1,google/gemma-3-12b-it-qat-q4_0-gguf,0.84,method1,"Best measured result on the highly relevant CohereLabs/Global-MMLU-Lite benchmark with accuracy=0.694, which tests multilingual and culturally diverse QA. Its 12B size fits the parameter constraint while offering the strongest direct evidence for global/cultural content."
B_method1_only,Anthropic/llm_global_opinions,2,trillionlabs/Trillion-7B-preview,0.80,method1,"Strong second-tier result on CohereLabs/Global-MMLU-Lite with accuracy=0.6775, close to the top Gemma 12B models on a culturally and linguistically diverse benchmark. The 7B size makes it an efficient candidate with strong measured evidence."
B_method1_only,Anthropic/llm_global_opinions,3,unsloth/gemma-3n-E4B-it-GGUF,0.74,method1,"This model has measured evidence on two neighbors: CohereLabs/Global-MMLU-Lite with accuracy=0.645 and Wanfq/gpqa with accuracy=0.237. The Global-MMLU-Lite result is highly relevant to global opinions and culture, though the weaker GPQA score lowers confidence somewhat."
B_method1_only,Anthropic/llm_global_opinions,4,mradermacher/Qwen3-14B-YOYO-GGUF,0.72,method1,"Top result on CohereForAI/include-base-44 with accuracy=0.6455, a multilingual multiple-choice benchmark with broad cultural and language coverage. Its 14B size is at the allowed limit and gives strong evidence for multilingual QA capability."
B_method1_only,Anthropic/llm_global_opinions,5,lmstudio-community/Qwen3-8B-GGUF,0.66,method1,"Solid measured performance on CohereForAI/include-base-44 with accuracy=0.594, indicating useful multilingual QA ability on a relevant neighbor dataset. It is weaker than the 14B Qwen and top Global-MMLU-Lite models but remains a promising 8B option."
C_method2_only,Anthropic/llm_global_opinions,1,mlx-community/gemma-3-4b-pt-4bit,0.74,method2,"Strongest measured all-around evidence among the candidates, with Rowan/hellaswag accuracy=0.772, allenai/winogrande accuracy=0.647, EleutherAI/drop f1=0.601, and CohereLabs/Global-MMLU-Lite accuracy=0.57. Its broad language and reasoning results make it the best fit despite the GNN score being only a prediction."
C_method2_only,Anthropic/llm_global_opinions,2,NousResearch/Llama-3.2-1B,0.63,method2,"Has the broadest measured NLP track record among the Llama 1B options, including google/IFEval accuracy=0.595, Rowan/hellaswag accuracy=0.412, allenai/quac f1=0.379, and allenai/ai2_arc accuracy=0.328. Its multilingual text-generation orientation is relevant for a global-opinions dataset."
C_method2_only,Anthropic/llm_global_opinions,3,alpindale/Llama-3.2-1B-Instruct,0.58,method2,"Instruction tuning is useful for opinion/question-answer style evaluation, and it matches strong small-model results on google/IFEval accuracy=0.595 and allenai/quac f1=0.379. The evidence is thinner than for NousResearch/Llama-3.2-1B, with only three measured evaluations including EleutherAI/drop f1=0.28."
C_method2_only,Anthropic/llm_global_opinions,4,unsloth/Llama-3.2-1B-Instruct-GGUF,0.54,method2,"This instruction-tuned Llama variant has five measured NLP evaluations, including Rowan/hellaswag accuracy=0.412, allenai/quac f1=0.379, allenai/ai2_arc accuracy=0.328, and Idavidrein/gpqa accuracy=0.272. Its results are modest but consistent across multiple text benchmarks."
C_method2_only,Anthropic/llm_global_opinions,5,meta-llama/Llama-3.2-1B,0.50,method2,"The official base Llama 3.2 1B model has consistent measured results on Rowan/hellaswag accuracy=0.412, allenai/quac f1=0.379, and allenai/ai2_arc accuracy=0.328. It is less specialized for instruction-following than the Instruct variants, so it ranks slightly lower."
D_claude_baseline,Anthropic/llm_global_opinions,1,Qwen/Qwen2.5-14B-Instruct,0.9,claude_baseline,"Strongest general-purpose ~14B instruction-tuned model with broad multilingual training and strong benchmark performance, well-suited to nuanced multiple-choice opinion questions."
D_claude_baseline,Anthropic/llm_global_opinions,2,Qwen/Qwen3-14B,0.88,claude_baseline,"Newer Qwen generation at max allowed size with improved reasoning and multilingual capabilities, likely to match distributional opinion patterns well."
D_claude_baseline,Anthropic/llm_global_opinions,3,google/gemma-2-9b-it,0.83,claude_baseline,"Highly competitive 9B instruction-tuned model from Google with strong world knowledge and instruction-following, a proven top performer at this scale."
D_claude_baseline,Anthropic/llm_global_opinions,4,CohereLabs/aya-expanse-8b,0.8,claude_baseline,"Explicitly designed for multilingual and multicultural coverage across 23 languages, directly relevant to representing global opinions from diverse populations."
D_claude_baseline,Anthropic/llm_global_opinions,5,meta-llama/Llama-3.1-8B-Instruct,0.78,claude_baseline,"Strong general-purpose instruction-tuned model with wide pretraining coverage and solid multiple-choice question performance, a reliable baseline at 8B."
A_merged,CFPB/consumer-finance-complaints,1,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33,0.84,method1,"Strongest direct fit: it achieved accuracy=0.722 on PolyAI/banking77, an English banking-domain intent classification dataset close to CFPB complaint topic classification. This is the best measured result on the most task- and domain-relevant neighbor."
A_merged,CFPB/consumer-finance-complaints,2,ChanceFocus/finma-7b-full,0.80,method2,"GNN-recommended and highly domain-aligned: it has strong measured financial NLP results including AdaptLLM/Headline f1=0.97, ArtGarfunkel/FinancialPhraseBank accuracy=0.87 and f1=0.87, and AdaptLLM/FiQA_SA f1=0.79. Although not measured in Source A, its finance-specific track record is very relevant to consumer finance complaints."
A_merged,CFPB/consumer-finance-complaints,3,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,0.75,both,"Appears in both sources and is purpose-built for zero-shot text classification. Its measured PolyAI/banking77 f1=0.567 is below the v1.1 model but still directly relevant, with additional classification evidence on OxAISH-AL-LLM/wiki_toxic f1=0.787 and allenai/social_bias_frames f1=0.656."
A_merged,CFPB/consumer-finance-complaints,4,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,0.72,method2,"A strong GNN-side classification candidate with measured performance on financial and general classification tasks: ArtGarfunkel/FinancialPhraseBank f1=0.691 and Yelp/yelp_review_full f1=0.988. It lacks Source A neighborhood support, so it ranks below the directly measured banking models."
A_merged,CFPB/consumer-finance-complaints,5,MoritzLaurer/deberta-v3-base-zeroshot-v2.0-c,0.62,both,"Appears in both sources and is a zero-shot classifier, but its direct banking-neighbor result is weaker: PolyAI/banking77 f1=0.421. It remains promising as a smaller fallback because it also has measured Yelp/yelp_review_full f1=0.979 and OxAISH-AL-LLM/wiki_toxic f1=0.751."
B_method1_only,CFPB/consumer-finance-complaints,1,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33,0.82,method1,"Strongest direct fit because it achieved accuracy=0.722 on PolyAI/banking77, an English banking-domain intent classification dataset closely related to financial complaint topic classification. Its evidence is more task- and domain-aligned than the higher scores on less relevant benchmarks."
B_method1_only,CFPB/consumer-finance-complaints,2,yandex/YandexGPT-5-Lite-8B-instruct,0.76,method1,"Best consistency signal across the neighborhood, with accuracy=0.651 on EleutherAI/drop and accuracy=0.685 on Gen-Verse/MBPP. Although these datasets are less directly financial-classification focused than PolyAI/banking77, the repeated measured performance makes it a robust candidate."
B_method1_only,CFPB/consumer-finance-complaints,3,qwp4w3hyb/Hunyuan-A13B-Instruct-hf-WIP-GGUF,0.72,method1,"Very strong single measured result with f1=0.911 on EleutherAI/drop, the highest score among the broader NLP neighbors. The evidence is indirect for consumer finance classification, but the high measured performance suggests strong general language understanding."
B_method1_only,CFPB/consumer-finance-complaints,4,unsloth/DeepSeek-R1-Distill-Qwen-14B,0.69,method1,"Strong measured performance with f1=0.883 on EleutherAI/drop, indicating capable reasoning and language understanding within the parameter constraint. Its evidence is less domain-specific than PolyAI/banking77, so it ranks below the more directly relevant and multi-dataset candidates."
B_method1_only,CFPB/consumer-finance-complaints,5,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,0.64,method1,"Relevant classification evidence from PolyAI/banking77, where it achieved f1=0.567 on English banking intent classification. The score is lower than MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33, but the domain/task match makes it a promising fallback for finance complaint labels."
C_method2_only,CFPB/consumer-finance-complaints,1,ChanceFocus/finma-7b-full,0.86,method2,"Best domain match: it has strong measured financial NLP results on AdaptLLM/Headline with f1=0.97 and ArtGarfunkel/FinancialPhraseBank with accuracy=0.87 and f1=0.87. It also performs well on AdaptLLM/FiQA_SA with f1=0.79, making it the strongest fit for consumer-finance complaint text."
C_method2_only,CFPB/consumer-finance-complaints,2,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,0.76,method2,Strong general zero-shot text-classification candidate with excellent measured performance on Yelp/yelp_review_full with f1=0.988 and relevant financial sentiment evidence on ArtGarfunkel/FinancialPhraseBank with f1=0.691. Its broader classification results on allenai/social_bias_frames with f1=0.644 add supporting evidence.
C_method2_only,CFPB/consumer-finance-complaints,3,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,0.68,method2,"A versatile zero-shot classifier with measured results across several text tasks, including OxAISH-AL-LLM/wiki_toxic with f1=0.787 and allenai/social_bias_frames with f1=0.656. Its PolyAI/banking77 result of f1=0.567 is especially relevant because banking intents are closer to consumer-finance complaints than most alternatives."
C_method2_only,CFPB/consumer-finance-complaints,4,MoritzLaurer/deberta-v3-base-zeroshot-v2.0-c,0.61,method2,"Smaller but still relevant zero-shot classifier with strong measured text-classification evidence on Yelp/yelp_review_full with f1=0.979 and OxAISH-AL-LLM/wiki_toxic with f1=0.751. It is weaker than the large DeBERTa variants, but additional results on AmazonScience/massive with f1=0.512 and PolyAI/banking77 with f1=0.421 support broad applicability."
C_method2_only,CFPB/consumer-finance-complaints,5,OrionStarAI/Orion-14B-Base,0.54,method2,"General-purpose 14B language model with strong measured reasoning and language-understanding results, including EleutherAI/race accuracy=0.932, EleutherAI/lambada_openai accuracy=0.788, and allenai/hellaswag accuracy=0.785. It lacks direct finance-complaint evidence, so it ranks below the finance-specific and classification-focused models."
D_claude_baseline,CFPB/consumer-finance-complaints,1,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,0.93,claude_baseline,DeBERTa-v3-large is the top-performing encoder for text classification benchmarks; this NLI/zero-shot-tuned variant fine-tunes exceptionally well on multi-class complaint categorization.
D_claude_baseline,CFPB/consumer-finance-complaints,2,answerdotai/ModernBERT-Large-Instruct,0.9,claude_baseline,"ModernBERT-large offers modern architecture with 8k context (fits full complaint narratives) and strong classification performance, ideal for CFPB complaint text lengths."
D_claude_baseline,CFPB/consumer-finance-complaints,3,MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,0.89,claude_baseline,DeBERTa-v3-large pretrained on diverse NLI tasks provides rich semantic representations that transfer strongly to fine-tuning on complaint category classification.
D_claude_baseline,CFPB/consumer-finance-complaints,4,tasksource/ModernBERT-large-nli,0.86,claude_baseline,"ModernBERT-large with NLI pretraining combines long-context handling with strong semantic understanding, well-suited for classifying detailed complaint narratives."
D_claude_baseline,CFPB/consumer-finance-complaints,5,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,0.84,claude_baseline,Alternative commercial-license DeBERTa-v3-large zero-shot variant; retains DeBERTa's strong classification headroom when fine-tuned on labeled CFPB categories.
A_merged,FinGPT/fingpt-sentiment-train,1,IDEA-CCNL/Erlangshen-Roberta-110M-Sentiment,0.92,method1,"This is the most directly relevant measured evidence: on the sentiment-classification dataset Kerwin11/ChnSentiCorp it achieved accuracy=0.9661. Because the query dataset is also a sentiment task, this measured result is stronger than indirect GNN-only recommendations."
A_merged,FinGPT/fingpt-sentiment-train,2,bartowski/Hermes-2-Pro-Mistral-7B-GGUF,0.82,both,This model appears in both sources and has consistent measured results on nearby instruction/prompt datasets: NousResearch/func-calling-eval accuracy=0.91 and NousResearch/json-mode-eval accuracy=0.84. Its broader track record also includes allenai/winogrande accuracy=0.723 and Rowan/hellaswag accuracy=0.6272.
A_merged,FinGPT/fingpt-sentiment-train,3,NousResearch/Hermes-2-Pro-Mistral-7B,0.78,method1,"The canonical Hermes 2 Pro model has repeated strong measured results in the retrieved neighborhood, with NousResearch/func-calling-eval accuracy=0.91 and NousResearch/json-mode-eval accuracy=0.84. Although these are not sentiment datasets, their prompt-completion structure is relevant to the query dataset's input/output/instruction format."
A_merged,FinGPT/fingpt-sentiment-train,4,tokyotech-llm/Gemma-2-Llama-Swallow-9b-pt-v0.1,0.66,method1,"This model has grounded Source A evidence on the nearby input-output benchmark jeggers/big_bench_hard, where it achieved accuracy=0.664. The evidence is less sentiment-specific than ChnSentiCorp, but it is a real measured result on a semantically similar text task."
A_merged,FinGPT/fingpt-sentiment-train,5,Qwen/Qwen2.5-7B-Instruct-1M,0.62,method2,"The GNN ranks this as a text-model candidate for the query, with predicted-performance=0.7437, and it has a real measured result on aisingapore/Instruction-Following-IFEval with accuracy=0.667. It is weaker than the measured Source A candidates, but its instruction-following orientation matches the query dataset format."
B_method1_only,FinGPT/fingpt-sentiment-train,1,IDEA-CCNL/Erlangshen-Roberta-110M-Sentiment,0.92,method1,Strongest task match: it was directly evaluated on the sentiment/text-classification dataset Kerwin11/ChnSentiCorp with accuracy=0.9661. This is the most relevant measured evidence for FinGPT/fingpt-sentiment-train among the neighborhood.
B_method1_only,FinGPT/fingpt-sentiment-train,2,NousResearch/Hermes-2-Pro-Mistral-7B,0.80,method1,"Shows consistent measured performance across two nearby instruction/structured-output datasets: NousResearch/func-calling-eval accuracy=0.91 and NousResearch/json-mode-eval accuracy=0.84. Although less sentiment-specific, the repeated high scores make it a strong general instruction-following candidate."
B_method1_only,FinGPT/fingpt-sentiment-train,3,NousResearch/Hermes-2-Pro-Mistral-7B-GGUF,0.77,method1,"Matches the base Hermes performance on both repeated evaluations: NousResearch/func-calling-eval accuracy=0.91 and NousResearch/json-mode-eval accuracy=0.84. It is slightly less preferred than the original model mainly because it is a GGUF variant, but the measured evidence is still strong."
B_method1_only,FinGPT/fingpt-sentiment-train,4,mlc-ai/Hermes-2-Pro-Mistral-7B-q4f16_1-MLC,0.74,method1,"This MLC variant has the same consistent measured results as the Hermes base model, with NousResearch/func-calling-eval accuracy=0.91 and NousResearch/json-mode-eval accuracy=0.84. It is promising for instruction-formatted data, though its quantized/deployment-oriented format makes it a slightly weaker recommendation."
B_method1_only,FinGPT/fingpt-sentiment-train,5,tokyotech-llm/Gemma-2-Llama-Swallow-9b-pt-v0.1,0.62,method1,"It has measured evidence on the relatively similar input-output dataset jeggers/big_bench_hard with accuracy=0.664. The result is only from one dataset and is less sentiment-specific, so it ranks below the sentiment-specialized and consistently evaluated Hermes options."
C_method2_only,FinGPT/fingpt-sentiment-train,1,bartowski/Hermes-2-Pro-Mistral-7B-GGUF,0.78,method2,"Strongest measured text-oriented track record among the candidates, with NousResearch/func-calling-eval accuracy=0.91, NousResearch/json-mode-eval accuracy=0.84, allenai/winogrande accuracy=0.723, Rowan/hellaswag accuracy=0.6272, and allenai/ai2_arc accuracy=0.5461. Its broad instruction and reasoning evidence is more relevant to FinGPT/fingpt-sentiment-train than the higher-ranked vision models."
C_method2_only,FinGPT/fingpt-sentiment-train,2,Qwen/Qwen2.5-7B-Instruct-1M,0.70,method2,"A strong general instruction model with the best nonzero GNN signal among text LLMs and measured aisingapore/Instruction-Following-IFEval accuracy=0.667. The measured evidence is limited to one dataset, but instruction-following ability is plausibly useful for sentiment classification."
C_method2_only,FinGPT/fingpt-sentiment-train,3,yueliu1999/GuardReasoner-VL-3B,0.62,method2,"Has consistent high measured F1 on language-heavy safety/evaluation datasets: allenai/xstest-response f1=0.9308, AlignmentResearch/HarmBench f1=0.891, and AlignmentResearch/WildGuardTest f1=0.8892. Although optimized for guard reasoning rather than sentiment, its strong classification-style evidence makes it a plausible fit."
C_method2_only,FinGPT/fingpt-sentiment-train,4,beomi/KoRWKV-6B,0.45,method2,"This is a text language model with measured NLP results on allenai/winogrande accuracy=0.5114 and Rowan/hellaswag accuracy=0.3218, but its allenai/drop-gen2mc f1=0.0583 is weak. It is less compelling for financial sentiment, especially given its Korean-focused training, but remains more modality-relevant than vision or protein models."
C_method2_only,FinGPT/fingpt-sentiment-train,5,BAAI/EVA-CLIP-8B,0.32,method2,"The GNN ranked it highest for the query, but its measured evidence is entirely vision-centric: axiong/imagenet-r top-k_accuracy=0.953, Voxel51/ImageNet-A top-k_accuracy=0.852, ILSVRC/imagenet-1k top-k_accuracy=0.835, and JimmyUnleashed/FGCV_Aircraft_Dataset top-k_accuracy=0.605. It is included only as a weak fallback because the measured datasets are not similar to FinGPT/fingpt-sentiment-train."
D_claude_baseline,FinGPT/fingpt-sentiment-train,1,ChanceFocus/finma-7b-full,0.95,claude_baseline,"FinMA is the FinGPT project's own LLaMA-based financial LLM fine-tuned on this exact FinGPT instruction data family, so it is essentially a domain- and task-matched checkpoint for financial sentiment."
D_claude_baseline,FinGPT/fingpt-sentiment-train,2,Qwen/Qwen2.5-14B-Instruct,0.88,claude_baseline,Qwen2.5-14B-Instruct is one of the strongest sub-15B instruction-tuned LLMs on classification and reasoning benchmarks and adapts very well to instruction-formatted sentiment datasets like FinGPT-sentiment.
D_claude_baseline,FinGPT/fingpt-sentiment-train,3,google/gemma-2-9b-it,0.85,claude_baseline,"Gemma-2-9B-IT is a top open 9B instruct model with excellent text-understanding scores and strong zero/few-shot classification, making it a very reliable base for financial sentiment fine-tuning."
D_claude_baseline,FinGPT/fingpt-sentiment-train,4,meta-llama/Llama-3.1-8B-Instruct,0.83,claude_baseline,"Llama-3.1-8B-Instruct is a widely validated general-purpose instruct model with strong instruction following and NLI/classification behavior, and it's the most common backbone for recent FinGPT-style adapters."
D_claude_baseline,FinGPT/fingpt-sentiment-train,5,Qwen/Qwen2.5-7B-Instruct,0.80,claude_baseline,"Qwen2.5-7B-Instruct offers near-Llama-3.1-8B quality with slightly better multilingual and text-classification behavior, providing a strong compact alternative for fine-tuning on FinGPT-sentiment."
A_merged,HUPD/hupd,1,qwp4w3hyb/Hunyuan-A13B-Instruct-hf-WIP-GGUF,0.86,method1,"It has the strongest measured result in the retrieved neighborhood with f1=0.911 on EleutherAI/drop. As a 13B instruct model, it is a strong fit for HUPD-style long technical text tasks such as QA, classification, and summarization."
A_merged,HUPD/hupd,2,unsloth/DeepSeek-R1-Distill-Qwen-14B,0.83,method1,It is the second-best measured model on the similar EleutherAI/drop dataset with f1=0.883. The 14B distilled reasoning model is likely useful for patent-domain comprehension and structured prediction tasks in HUPD.
A_merged,HUPD/hupd,3,bartowski/internlm3-8b-instruct-GGUF,0.78,method1,"It achieved accuracy=0.831 on EleutherAI/drop, giving strong measured evidence from the closest evaluated text benchmark. Its 8B instruct format makes it a practical candidate for HUPD tasks under the parameter constraint."
A_merged,HUPD/hupd,4,sdadas/mmlw-roberta-base,0.74,both,"This model is in the agreement set with GNN rank 1 and also has real measured results on the similar PL-MTEB/cbd dataset with accuracy=0.6811 and f1=0.5686. Its broader track record includes PL-MTEB/cdsce-pairclassification with accuracy=0.892 and f1=0.7, supporting use for classification or semantic matching tasks."
A_merged,HUPD/hupd,5,yandex/YandexGPT-5-Lite-8B-instruct,0.70,both,This model appears in both sources and has measured accuracy=0.651 on EleutherAI/drop. Its additional real results on HuggingFaceH4/ifeval with accuracy=0.726 and Gen-Verse/MBPP with accuracy=0.685 suggest a versatile 8B instruction model despite lower neighborhood performance than the top Source A models.
B_method1_only,HUPD/hupd,1,qwp4w3hyb/Hunyuan-A13B-Instruct-hf-WIP-GGUF,0.86,method1,"Top measured performer in the available neighborhood, with f1=0.911 on EleutherAI/drop. Since NortheasternUniversity/big_patent is the closest patent dataset but has no measured models, this is the strongest grounded signal."
B_method1_only,HUPD/hupd,2,unsloth/DeepSeek-R1-Distill-Qwen-14B,0.82,method1,"Very strong measured result on EleutherAI/drop with f1=0.883, second-best among the eligible evidence. Its 14B size and reasoning-oriented lineage make it a promising fit for complex patent text tasks in HUPD."
B_method1_only,HUPD/hupd,3,bartowski/internlm3-8b-instruct-GGUF,0.76,method1,"Achieved accuracy=0.831 on EleutherAI/drop, the third-best measured result in the relevant evaluated neighborhood. As an 8B instruct model, it offers a strong balance of capability and deployability for HUPD-style NLP tasks."
B_method1_only,HUPD/hupd,4,XiaomiMiMo/MiMo-VL-7B-SFT,0.72,method1,"Recorded f1=0.827 on EleutherAI/drop, placing it near the top of the measured neighborhood evidence. Although HUPD is text-centric, this 7B model has a strong grounded result on a challenging NLP benchmark."
B_method1_only,HUPD/hupd,5,google/byt5-xxl,0.69,method1,"Measured f1=0.8 on EleutherAI/drop, providing solid direct evidence among eligible models. Its text-to-text architecture is plausibly useful for HUPD tasks such as summarization, classification, and language modeling."
C_method2_only,HUPD/hupd,1,yandex/YandexGPT-5-Lite-8B-instruct,0.79,method2,"Strongest overall text-oriented evidence: it reports accuracy=0.726 on HuggingFaceH4/ifeval, accuracy=0.685 on Gen-Verse/MBPP, and accuracy=0.651 on EleutherAI/drop. Its five measured evaluations are reasonably consistent, with additional accuracy=0.56 on bengaliAI/BFCL and accuracy=0.522 on TIGER-Lab/MMLU-Pro."
